category,question,answer,site
내차팔기,"내차팔기는 어떤 절차로 진행되나요?
연장하다","기아 인증중고차 '내차팔기' 서비스는 아래와 같은 절차로 진행됩니다.
1. 차량 정보로 예상 견적을 진행합니다.
2. 전문 평가사 방문평가와 데이터 평가 중 한가지 방법을 선택해 상세견적가를 확인합니다.
3. '내차팔기' 버튼을 눌러서 전자계약서를 작성합니다.
4. 인도일정 및 장소를 확정하고 탁송기사가 방문합니다.
5. 인도 후 5분 이내로 고객 계좌로 차량대금이 입금됩니다.
6. 온라인 명의이전 이후 변경된 자동차 등록증을 발송해드립니다.
7. 변경된 자동차 등록증으로 보험해지 및 자동차세 환급을 진행하시면 됩니다.",기아자동차
내차팔기,"내차팔기에서 판매할 수 있는 차량 조건이 어떻게 되나요?
연장하다","기아 인증중고차 서비스의 ""내차팔기' 조건은 아래와 같습니다.
1. 개인 또는 개인 사업자 명의의 차량
2. 기아 브랜드로 연식 5년 미만 & 운행거리 10만km 미만의 순정 차량(기아 커스터마이징 차량은 순정 차량으로 판정)
3. 침수, 압류 등 특수 사고 이력이 없는 차량
4. 근저당권이 설정되지 않은 차량",기아자동차
내차팔기,"차량 판매에 필요한 서류는 무엇인가요?
연장하다","기아 인증중고차 서비스 중 '내 차 팔기'를 위한 모든 서류는 제출일 기준 30일 이내 발급된 것이어야 하며, 세금계산서는 7일 이내 발급분만 유효합니다. 구비서류는 인도일 당일 탁송 기사에게 제출해 주세요.
<필수 구비서류>
1. 자동차등록증 (사본도 가능)
2. 자동차 매도용 인감증명서(또는 본인사실확인서) (원본)
3. 지방세 완납증명서 (1월/ 7월 판매 시)
-[해당시] 거소사실확인서 또는 외국인 등록증(외국인일 경우)
-[해당시] 공동명의자 모두의 자동차 매도용 인감증명서(또는 본인사실확인서)
※ 사업자인 경우 ※
- 사업자등록증 사본
- [해당시] 세금계산서 발행
- [해당시] 비사업용사실확인서
- [해당시_복식부기자] 표준재무상태표 또는 합계잔액시산표
- [해당시_복식부기자] 차량운반구 감가상각비명세서 또는 고정자산명세서
- [해당시_간편장부] 간편장부소득금액계산서
- [해당시_간편장부] 총 수입금액 및 필요경비명세서",기아자동차
내차팔기,"내차팔기 탁송 시 매도용 인감증명서 발행 시 매수자 정보는 어떻게 되나요?
연장하다","기아 인증중고차 서비스에서는 매도용 인감증명서 발급 시 필요한 사업자 정보는 계약완료 후 메일로 발송해드리는 매매계약서에서 확인이 가능합니다.
입력하셔야 하는 매수자 정보는 아래와 같습니다.
매수자 정보
① 법인명(단체명) : 기아(주) 용인 기아 인증중고차
② 법인등록번호 : 110111-0037998
③ 사업장 소재지: 경기도 용인시 기흥구 중부대로 242, A동 3층 W332, W333호 (영덕동, 오토허브)",기아자동차
내차팔기,"여러 대의 차량을 판매 할 수 있나요?
연장하다","기아 인증중고차 서비스에서는 여러 대의 차량을 판매할 수 있습니다. 다만, 기아 브랜드 차량만 판매가 가능합니다.",기아자동차
내차팔기,"예상 견적 조회 시 차량 정보 불일치로 나오는 이유가 뭔가요?
연장하다",기아 인증중고차 서비스는 차량 정보와 주계약자명으로 차량의 예상 견적을 확인할 수 있습니다.,기아자동차
내차팔기,"상세 견적을 받아서 계약을 하려고 했는데 만료되었다고 합니다. 복구가 가능한가요?
연장하다",상세 견적가는 견적 날짜로부터 7영업일 간 유효합니다. 해당 유효기간이 지났다면 상세 견적이 만료됩니다.,기아자동차
내차팔기,"예상 견적이 만료되어 다시 견적을 요청했습니다. 가격이 변동되었는데 이유가 뭔가요?
연장하다",기아 인증중고차 서비스의 예상 견적은 중고차 시세 등에 따라 가격이 변동될 수 있습니다.,기아자동차
내차팔기,"근저당이 있는 경우 차량 판매가 가능한가요?
연장하다","기아 인증중고차 서비스에서는 근저당이 있는 경우 상세 견적 서비스까지는 이용 가능합니다. 다만, 내차팔기 시 설정된 근저당을 말소한 후에 차량 판매가 가능합니다.",기아자동차
내차팔기,"최종 시세 후 차량 판매를 원할 경우 판매 기간이 있나요?
연장하다",기아 인증중고차 서비스에서 상세 견적 후 7 영업일 이내에 차량 판매를 하면 됩니다.,기아자동차
