차종,차량명,연식,주행거리,가격
EQ900,제네시스 EQ900 3.3 T-GDI AWD 프레스티지,15년 12월식(16년형),"98,317km","2,580만원"
EQ900,제네시스 EQ900 3.3 T-GDI AWD 프레스티지,16년 5월식,"98,232km","2,690만원 2,750만원"
EQ900,제네시스 EQ900 3.3 T-GDI AWD 프리미엄 럭셔리,18년 12월식,"108,012km","2,500만원"
EQ900,제네시스 EQ900 3.3 T-GDI 럭셔리,18년 2월식,"80,889km","2,450만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17년 4월식,"125,361km","1,940만원 2,040만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17년 2월식,"126,432km","1,990만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,16년 6월식,"85,810km","2,450만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17년 11월식(18년형),"147,535km","2,150만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17년 9월식(18년형),"132,009km","2,150만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,18년 5월식,"101,622km","2,350만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17년 10월식(18년형),"91,503km","2,590만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 프레스티지,17년 7월식(18년형),"101,334km","2,950만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 프레스티지,17년 3월식,"73,576km","3,220만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 프레스티지,17년 10월식(18년형),"110,215km","2,780만원 2,890만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 프레스티지,17년 5월식(18년형),"150,471km","2,440만원 2,490만원"
EQ900,제네시스 EQ900 3.8 GDI AWD 프리미엄 럭셔리,17년 1월식,"125,867km","2,170만원 2,220만원"
EQ900,제네시스 EQ900 3.8 GDI 럭셔리,17년 5월식(18년형),"77,572km","2,330만원"
EQ900,제네시스 EQ900 3.8 GDI 럭셔리,17년 1월식,"83,331km","2,390만원"
EQ900,제네시스 EQ900 3.8 GDI 럭셔리,18년 9월식,"99,886km","2,370만원"
EQ900,제네시스 EQ900 3.8 GDI 럭셔리,16년 2월식,"85,718km","2,490만원"
EQ900,제네시스 EQ900 5.0 GDI AWD 리무진 프레스티지,16년 5월식,"139,155km","2,650만원"
EV6,기아 EV6 롱 레인지 2WD 어스,23년 5월식,"5,854km","3,850만원"
EV6,기아 EV6 롱 레인지 2WD 어스,21년 10월식(22년형),"22,683km","3,330만원 3,390만원"
EV6,기아 EV6 롱 레인지 4WD GT-Line,23년 7월식,"15,381km","4,170만원"
EV6,기아 EV6 롱 레인지 4WD GT-Line,22년 4월식,"53,481km","3,890만원"
EV6,기아 EV6 롱 레인지 4WD GT-Line,22년 9월식,"47,902km","3,390만원"
EV6,기아 EV6 롱 레인지 4WD GT-Line,22년 4월식,"89,940km","3,600만원"
EV6,기아 EV6 롱 레인지 4WD GT-Line,23년 9월식,"23,749km","4,220만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 6월식,"36,400km","3,230만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 6월식,"38,301km","3,370만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 4월식,"54,236km","3,140만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 7월식,"52,412km","3,170만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 6월식,"35,135km","3,390만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 7월식,"25,920km","3,360만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 3월식,"48,393km","3,350만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 3월식,"61,274km","3,190만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 7월식,"43,422km","3,350만원"
EV6,기아 EV6 롱 레인지 4WD 에어,22년 6월식,"2,894km","3,600만원"
EV6,기아 더 뉴 EV6 롱 레인지 4WD GT-line,24년 11월식(25년형),"6,031km","5,340만원"
EV6,기아 더 뉴 EV6 롱 레인지 4WD 어스,24년 11월식(25년형),"3,129km","5,250만원"
G70,BMW 7시리즈 (G70) 가솔린 3.0 740i sDrive M 스포츠,23년 7월식,"17,648km","11,050만원"
G70,BMW 7시리즈 (G70) 디젤 3.0 740d xDrive M 스포츠,25년 2월식,"6,424km",리스료 월 195만원
G70,제네시스 G70 2.0T AWD 슈프림,18년 6월식,"91,121km","2,190만원"
G70,제네시스 G70 2.0T AWD 슈프림,17년 11월식(18년형),"57,984km","2,180만원"
G70,제네시스 G70 2.0T AWD 슈프림,18년 2월식,"51,864km","2,150만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,18년 7월식,"92,443km","2,550만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,18년 9월식,"29,979km","2,450만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19년 1월식,"89,156km","2,680만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,20년 6월식,"87,587km","2,390만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19년 3월식,"87,103km","2,480만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,20년 3월식,"112,380km","2,500만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19년 11월식(20년형),"60,178km","2,590만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19년 9월식,"72,801km","2,440만원 2,490만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,18년 10월식(19년형),"69,665km","2,450만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19년 12월식,"80,030km","2,650만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19년 5월식,"76,126km","2,330만원 2,380만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19년 1월식,"92,340km","2,290만원"
G70,제네시스 G70 2.0T AWD 스포츠 패키지,18년 7월식,"34,672km","2,750만원"
G70,제네시스 G70 2.0T AWD 엘리트,20년 12월식,"100,345km","2,590만원"
G70,제네시스 G70 2.0T AWD 엘리트,18년 12월식(19년형),"81,854km","2,280만원"
G70,제네시스 G70 2.0T AWD 엘리트,19년 7월식,"99,278km","1,930만원"
G70,제네시스 G70 2.0T 슈프림,18년 8월식,"91,526km","1,920만원"
G70,제네시스 G70 2.0T 슈프림,18년 5월식,"88,952km","2,090만원"
G70,제네시스 G70 2.0T 슈프림,17년 10월식(18년형),"73,518km","1,850만원"
G70,제네시스 G70 2.0T 슈프림,18년 1월식,"75,154km","2,190만원"
G70,제네시스 G70 2.0T 슈프림,18년 8월식,"59,184km","2,350만원"
G70,제네시스 G70 2.0T 스포츠 패키지,20년 6월식,"100,153km","2,050만원"
G70,제네시스 G70 2.0T 스포츠 패키지,18년 12월식,"70,599km","2,290만원"
G70,제네시스 G70 2.0T 스포츠 패키지,18년 1월식,"141,620km","2,220만원"
G70,제네시스 G70 2.0T 스포츠 패키지,19년 8월식,"68,709km","2,630만원"
G70,제네시스 G70 2.0T 스포츠 패키지,18년 6월식,"72,588km","2,590만원"
G70,제네시스 G70 2.0T 스포츠 패키지,20년 6월식,"74,631km","2,680만원 2,750만원"
