차종,차량명,연식,주행거리,가격
EQ900,제네시스 EQ900 3.3 T-GDI AWD 프레스티지,15,98317,2580.0
EQ900,제네시스 EQ900 3.3 T-GDI AWD 프레스티지,16,98232,2690.0
EQ900,제네시스 EQ900 3.3 T-GDI AWD 프리미엄 럭셔리,18,108012,2500.0
EQ900,제네시스 EQ900 3.3 T-GDI 럭셔리,18,80889,2450.0
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17,125361,1940.0
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17,126432,1990.0
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,16,85810,2450.0
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17,147535,2150.0
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17,132009,2150.0
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,18,101622,2350.0
EQ900,제네시스 EQ900 3.8 GDI AWD 럭셔리,17,91503,2590.0
EQ900,제네시스 EQ900 3.8 GDI AWD 프레스티지,17,101334,2950.0
EQ900,제네시스 EQ900 3.8 GDI AWD 프레스티지,17,73576,3220.0
EQ900,제네시스 EQ900 3.8 GDI AWD 프레스티지,17,110215,2780.0
EQ900,제네시스 EQ900 3.8 GDI AWD 프레스티지,17,150471,2440.0
EQ900,제네시스 EQ900 3.8 GDI AWD 프리미엄 럭셔리,17,125867,2170.0
EQ900,제네시스 EQ900 3.8 GDI 럭셔리,17,77572,2330.0
EQ900,제네시스 EQ900 3.8 GDI 럭셔리,17,83331,2390.0
EQ900,제네시스 EQ900 3.8 GDI 럭셔리,18,99886,2370.0
EQ900,제네시스 EQ900 3.8 GDI 럭셔리,16,85718,2490.0
EQ900,제네시스 EQ900 5.0 GDI AWD 리무진 프레스티지,16,139155,2650.0
EV6,기아 EV6 롱 레인지 2WD 어스,23,5854,3850.0
EV6,기아 EV6 롱 레인지 2WD 어스,21,22683,3330.0
EV6,기아 EV6 롱 레인지 4WD GT-Line,23,15381,4170.0
EV6,기아 EV6 롱 레인지 4WD GT-Line,22,53481,3890.0
EV6,기아 EV6 롱 레인지 4WD GT-Line,22,47902,3390.0
EV6,기아 EV6 롱 레인지 4WD GT-Line,22,89940,3600.0
EV6,기아 EV6 롱 레인지 4WD GT-Line,23,23749,4220.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,36400,3230.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,38301,3370.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,54236,3140.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,52412,3170.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,35135,3390.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,25920,3360.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,48393,3350.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,61274,3190.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,43422,3350.0
EV6,기아 EV6 롱 레인지 4WD 에어,22,2894,3600.0
EV6,기아 더 뉴 EV6 롱 레인지 4WD GT-line,24,6031,5340.0
EV6,기아 더 뉴 EV6 롱 레인지 4WD 어스,24,3129,5250.0
G70,BMW 7시리즈 (G70) 가솔린 3.0 740i sDrive M 스포츠,23,17648,11050.0
G70,제네시스 G70 2.0T AWD 슈프림,18,91121,2190.0
G70,제네시스 G70 2.0T AWD 슈프림,17,57984,2180.0
G70,제네시스 G70 2.0T AWD 슈프림,18,51864,2150.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,18,92443,2550.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,18,29979,2450.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19,89156,2680.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,20,87587,2390.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19,87103,2480.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,20,112380,2500.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19,60178,2590.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19,72801,2440.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,18,69665,2450.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19,80030,2650.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19,76126,2330.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,19,92340,2290.0
G70,제네시스 G70 2.0T AWD 스포츠 패키지,18,34672,2750.0
G70,제네시스 G70 2.0T AWD 엘리트,20,100345,2590.0
G70,제네시스 G70 2.0T AWD 엘리트,18,81854,2280.0
G70,제네시스 G70 2.0T AWD 엘리트,19,99278,1930.0
G70,제네시스 G70 2.0T 슈프림,18,91526,1920.0
G70,제네시스 G70 2.0T 슈프림,18,88952,2090.0
G70,제네시스 G70 2.0T 슈프림,17,73518,1850.0
G70,제네시스 G70 2.0T 슈프림,18,75154,2190.0
G70,제네시스 G70 2.0T 슈프림,18,59184,2350.0
G70,제네시스 G70 2.0T 스포츠 패키지,20,100153,2050.0
G70,제네시스 G70 2.0T 스포츠 패키지,18,70599,2290.0
G70,제네시스 G70 2.0T 스포츠 패키지,18,141620,2220.0
G70,제네시스 G70 2.0T 스포츠 패키지,19,68709,2630.0
G70,제네시스 G70 2.0T 스포츠 패키지,18,72588,2590.0
G70,제네시스 G70 2.0T 스포츠 패키지,20,74631,2680.0
G70,제네시스 G70 2.0T 스포츠 패키지,18,96190,2040.0
G70,제네시스 G70 2.0T 스포츠 패키지,19,99676,2370.0
G70,제네시스 G70 2.0T 어드밴스드,19,51533,1850.0
G70,제네시스 G70 2.0T 어드밴스드,19,102015,1850.0
G70,제네시스 G70 2.0T 어드밴스드,18,64886,1960.0
G70,제네시스 G70 2.0T 엘리트,19,144713,2290.0
G70,제네시스 G70 2.0T 엘리트,19,90388,1940.0
G70,제네시스 G70 2.0T 엘리트,19,55817,2370.0
G70,제네시스 G70 2.0T 엘리트,19,35266,2570.0
G70,제네시스 G70 2.0T 엘리트,19,103566,2070.0
G70,제네시스 G70 2.0T 엘리트,19,67799,2390.0
G70,제네시스 G70 2.0T 엘리트,19,54310,2450.0
G70,제네시스 G70 3.3T 스포츠 AWD 슈프림,17,88883,1990.0
G70,제네시스 G70 3.3T 스포츠 AWD 슈프림,18,129774,2050.0
G70,제네시스 G70 3.3T 스포츠 AWD 슈프림,18,92781,2180.0
G70,제네시스 G70 3.3T 스포츠 AWD 슈프림,18,136891,1960.0
G70,제네시스 G70 3.3T 스포츠 AWD 슈프림,17,82823,2200.0
G70,제네시스 G70 3.3T 스포츠 AWD 슈프림,17,61159,2330.0
G70,제네시스 G70 3.3T 스포츠 AWD 슈프림,18,38343,2720.0
G70,제네시스 G70 3.3T 스포츠 AWD 슈프림,18,95525,2190.0
G70,제네시스 G70 3.3T 스포츠 AWD 엘리트,19,74325,2290.0
G70,제네시스 G70 3.3T 스포츠 AWD 프레스티지,19,115017,2430.0
G70,제네시스 G70 3.3T 스포츠 슈프림,17,76340,2280.0
G70,제네시스 G70 3.3T 스포츠 어드밴스드,18,79924,2090.0
G70,제네시스 G70 3.3T 스포츠 엘리트,19,59477,2090.0
G70,제네시스 G70 3.3T 스포츠 엘리트,19,93031,1980.0
G70,제네시스 G70 3.3T 스포츠 엘리트,19,95849,1960.0
G70,제네시스 G70 3.3T 스포츠 프레스티지,19,45385,2920.0
G70,제네시스 G70 3.3T 스포츠 프레스티지,20,47776,3150.0
G70,제네시스 G70 3.3T 스포츠 프레스티지,19,90100,2550.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.0 2WD,22,63112,3290.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.0 2WD,22,32282,3610.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.0 2WD,23,17213,3690.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.0 2WD 스포츠 패키지,21,53613,3620.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.0 2WD 스포츠 패키지,23,7071,3890.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.0 AWD,21,63185,3650.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.0 AWD,22,74722,3190.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.0 AWD 스포츠 패키지,21,77300,3690.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.5 2WD,23,15909,4190.0
G70,제네시스 더 뉴 G70 가솔린 터보 2.5 2WD,24,18551,4390.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 2WD 스포츠 패키지,22,32154,3390.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 2WD 스포츠 패키지,22,72594,3650.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 AWD,21,43315,3490.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 AWD,24,16967,4420.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 AWD,21,47409,3660.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 AWD 스포츠 패키지,21,63491,3590.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 AWD 스포츠 패키지,23,36208,4230.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 AWD 스포츠 패키지,21,88292,3190.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 AWD 스포츠 패키지,20,84197,2920.0
G70,제네시스 더 뉴 G70 가솔린 터보 3.3 AWD 스포츠 패키지,23,22619,4260.0
G70,제네시스 더 뉴 G70 디젤 2.2 AWD,21,73950,3280.0
